Sighting Identifier (entry #),date and time reported,date observed,County,City,North or South,Habitat,firefly count (estimate),Sighting Notes
79,07/12/2015 - 10:35pm,7/2/2015,Weber,West Weber,north,Pasture/wetland,1,My daughter saw them a few weeks earlier while helping to irrigate.
86,07/12/2015 - 11:25pm,7/3/2015,Weber,Riverdale,north,Drive Inn,1,at the Motor Vu Drive Inn at dusk
91,07/13/2015 - 12:27am,7/12/2015,Weber,Riverdale,north,Close to river,3,I saw several fireflies (maybe 8-10) while ate the motor vu drive in starting at around 10 pm until midnight.
111,07/13/2015 - 3:32pm,6/5/2015,Weber,Huntsville,north,Wetland and pasture,4,We have going to the same area. In Huntsville for at least 10 years to look for these guys. I.
126,08/18/2015 - 12:13pm,7/10/2015,Weber,Layton,north,raspberries in my garden,4,I will watch for more. I only observed 1.
133,09/19/2015 - 1:31am,9/18/2015,Weber,Riverdale,north,"urban, near farm land",7,My wife noticed a few more then I did. I saw 3 short sustained flashes making a J or L shape.
147,06/03/2016 - 10:15pm,6/3/2016,Weber,Marriott-slaterville,north,Irrigation pond with reeds,10,
161,06/20/2016 - 10:13pm,6/20/2016,Weber,Riverdale,north,Urban,10,I've never seen a flyer fly before in my entire life so this really caught me off guard. It was jus If like maybe once every se
174,07/04/2016 - 5:16pm,7/3/2016,Weber,Ogden canyon,north,Forest,4,I think it was a firefly. There was only one and we seen flashes in some trees. Then it flew towards our fire for about 5 sec.
201,06/06/2017 - 11:47pm,6/6/2017,Weber,Farr west,north,Wetland,20,
203,06/17/2017 - 3:32pm,6/16/2017,Weber,Warren,north,"Farm Land, 1 acre home site",3,"It was a whiter light, not the green i recall seeing in Oklahoma"
218,06/24/2017 - 8:31am,6/24/2017,Weber,Ogden,north,"Fields surround our home, hay and corn, small herd of cows and goats",3,"Too stunned to get a photo,  we were sitting on our front porch talking and saw the flashes,  there were 4 of us probably saw "
243,05/26/2018 - 8:26am,5/25/2018,Weber,West Haven,north,Marsh/pasture,5,
278,06/10/2018 - 12:14am,6/9/2018,Weber,West Haven,north,Pasture,3,
316,06/27/2018 - 7:42pm,6/26/2018,Weber,West haven,north,Front yard,6,
361,06/12/2019 - 9:49pm,6/12/2019,Weber,Marriott slaterville,north,Irrigation ponds,40,
369,06/18/2019 - 10:11pm,6/18/2019,Weber,Taylor,north,Grass pasture,2,Didn’t have a camera but definitely counted 20-30 before the bats started to dive for them
375,06/23/2019 - 10:32pm,6/23/2019,Weber,Plain City,north,Wetland,20,
405,08/12/2019 - 11:06pm,6/23/2019,Weber,Pleasantview,north,Field,1000,
419,06/04/2020 - 11:23pm,6/4/2020,Weber,Plain City,north,Grass Yard,1,No photos family seen fly in wet grass then up over house.
457,06/30/2020 - 9:04pm,6/27/2020,Weber,Causey Reservoir,north,Marsh,2,We saw several fireflies blinking fir about 45 mins
461,07/05/2020 - 1:28pm,5/29/2020,Weber,Plain City,north,marsh / swamp,3,not sure on blinking. Maybe 2 or 3 in 10 sec. Grew up in Maryland so very familiar with lightning bugs
506,06/15/2021 - 11:05pm,6/15/2021,Weber,Huntsville,north,Edge of Beaver Creek.,2,We have been seeing them for the last couple of years. They are on the edge of a stream that runs through our property.
613,06/29/2022 - 9:41pm,6/10/2022,Weber,Harrisville,north,Marsh/ field,15,
652,07/05/2022 - 4:25pm,6/22/2022,Weber,Taylor,north,Tall grass,5,
673,07/17/2022 - 3:45pm,6/16/1987,Weber,Pleasant View,north,Marshy Field,2,My parents lived in a middle of a fields that in the 80’s had a lot more water in them. We used to see them in early summer.
33,05/31/2015 - 2:01am,5/30/2015,,Spanish Fork,north,River and grassy field,5,
34,06/02/2015 - 9:29am,5/9/2015,,Ivans,south,red rock desert,4,"at least a dozen, large flashing lights, hung around above us while the concert played."
45,06/13/2015 - 5:22pm,6/10/2015,,SpringLake,south,Marsh,8,
49,06/19/2015 - 10:50pm,6/19/2015,,West Valleh City,north,Movie theater,6,We were at the Redwood Drive In watching a movie and kept seeing a flying bug that would light up. possibly 2 bugs.
69,07/09/2015 - 8:49pm,7/19/2014,,"corrine,utah",north,marshy pasture next to bear river,50,ive seen them twice at this lication also in 2012
88,07/12/2015 - 11:30pm,7/4/2015,,near thistle,north,marsh,10,they were all over and would blink a ton then slow tovery few then go a ton again
102,07/13/2015 - 11:42am,6/6/2015,,Heber,north,middle Provo river,1,"sparse compared to back east, but 4-5 individual flies sighted same place, 2014 and 2015"
109,07/13/2015 - 2:03pm,6/13/2015,,Heber,north,"Marsh, right off the middle section of the Provo river",7,Saw them on the provo right up fro Deer Creek resivoir. I saw about 5 of them in total. They were very active with their bliss
110,07/13/2015 - 2:54pm,7/11/2015,,Park City,north,stream,2,off our back porch looking over Swanner Preserve and poison creek. I saw 2
132,09/18/2015 - 12:14pm,5/31/2009,,Escalante,south,Along the river that cut Coyote Gulch,2,
north,06/11/2016 - 11:45pm,6/11/2013,,Heber,north,Swampy area near side of road,25,"It was rainy, and there were lots of cars and people around for a music festival"
160,06/19/2016 - 11:30pm,6/8/2016,Sanpete,Lake Powell,south,"110°55'4.32""W",6,We ran the Escalante River and camped across from willow canyon on powell They magically appeared and even flew over our heads!
378,06/25/2019 - 11:54pm,6/25/2019,,Marriott slaterville,north,Irrigation ponds,30,
418,06/04/2020 - 11:06pm,6/4/2020,,Pleasant View,north,Pasture,15,You can see them from canal road 1000 west from big peachfarm
427,06/12/2020 - 10:11pm,6/12/2020,,Midway,north,Marsh,4,There were about 20 fireflies
430,06/13/2020 - 1:55pm,6/12/2020,,Logan,north,marsh with tall grass,7,
439,06/21/2020 - 1:50pm,6/20/2020,,Garden city,north,Marsh,4,
450,06/26/2020 - 2:19am,6/9/2020,Cache,Logan,north,wetland,5,
456,06/29/2020 - 4:18pm,6/25/2020,,Hanna,north,Stream in the forest,20,FR 427. Prob 20 of them went off after we put our fire out.
474,07/29/2020 - 2:09pm,6/26/2020,,Park City,north,Swaner Nature Preserve,2,We saw 5 bugs blinking. Too far away and too dark to get a picture.
501,06/13/2021 - 3:29pm,6/1/2018,,Park City,north,Riparian,2,Date is not accurate
575,04/11/2022 - 5:39pm,3/31/2022,,Moab,south,Next to the banks for the Green River,1,
585,06/11/2022 - 10:29pm,6/11/2022,,Garden City,north,Lakeside,4,
630,07/03/2022 - 9:39pm,8/4/1995,,Garden city,north,Wet marsh land next to Bear lake,1,
671,07/17/2022 - 1:30pm,7/3/2022,,Park City,north,Marsh,5,North side of building in grassy area.
26,06/25/2023 13:18:28,6/23/2023 18:00,Kane,Kane,south,Online,2,
27,06/27/2023 18:12:53,6/23/2023 18:00,Garfield,Garfield,south,Just when looking if there were fireflies in utah,3,
28,06/28/2023 4:02:47,6/27/2023 18:00,Wasatch,Wasatch,north,I looked up why I was seeing a FIREFLY in utah,5,
30,06/28/2023 5:19:30,6/27/2023 18:00,Wasatch,Wasatch,north,Search on internet for fireflies in utah after sighting,5,
31,06/30/2023 2:17:37,6/28/2023 18:00,Rich,Rich,north,Internet,5,
38,07/02/2023 5:31:17,7/1/2023 18:00,Utah,Utah,north,Online search,5,
42,07/04/2023 4:37:05,7/3/2023 18:00,Summit,Summit,north,Online search to identify Utah fireflies,10,
43,07/04/2023 6:00:19,7/3/2023 18:00,Summit,Summit,north,Online search,3,
72,07/11/2023 20:59:42,7/8/2023 18:00,Wasatch,Wasatch,north,I designed the map,10,
79,07/12/2023 4:57:19,7/11/2023 18:00,Cache,Cache,north,USU biology course,2,
80,07/12/2023 19:52:35,7/11/2023 18:00,Summit,Summit,north,"I've been submitting data for some years now, can't remember original source?",5,
81,07/13/2023 16:23:46,7/12/2023 18:00,Summit,Summit,north,friend,3,
89,07/16/2023 3:36:34,7/8/2023 18:00,Cache,Cache,north,From my Biology class,2,
166,03/27/2024 21:43:35,6/15/2019 18:00,Duchesne,Duchesne,north,Instagram,2,
167,04/15/2024 7:25:23,4/1/2024 19:00,Emery,Emery,south,Research on Google,5,
170,05/20/2024 5:28:59,7/19/2017 18:00,Wasatch,Wasatch,north,Googling firefly maps,2,
174,05/28/2024 4:03:49,5/27/2024 18:00,Uintah,Uintah,north,KSL,6,
176,06/02/2024 20:00:13,5/30/2024 18:00,Garfield,Garfield,south,google search,6,
178,06/03/2024 4:41:05,6/2/2024 18:00,Utah,Utah,north,I learned about this project about 10 years ago online.,10,
179,06/03/2024 23:42:23,7/3/1998 18:00,Duchesne,Duchesne,north,Facebook,2,
180,06/04/2024 4:55:15,6/3/2024 18:00,Utah,Utah,north,Online,3,
184,06/09/2024 4:18:44,6/8/2024 18:00,Cache,Cache,north,,1,
185,06/09/2024 18:38:36,6/4/2024 19:00,Kane,Kane,south,Facebook,5,
186,06/10/2024 4:35:49,6/9/2024 18:00,Wasatch,Wasatch,north,,4,
188,06/11/2024 5:10:51,6/10/2024 18:00,Davis,Davis,north,Can't remember,150,
194,06/13/2024 4:11:13,6/12/2024 18:00,Summit,Summit,north,,2,
195,06/13/2024 15:10:17,6/4/2024 18:00,Utah,Utah,north,A neighbor,50,
196,06/13/2024 21:12:36,6/12/2024 18:00,Box Elder,Box Elder,north,I googled if there were fireflies in Utah,30,
201,06/15/2024 7:02:19,6/14/2024 18:00,Box Elder,Box Elder,north,Ogden Nature Center presentation,9,
204,06/16/2024 16:46:26,6/15/2024 18:00,Utah,Utah,north,I was looking up where to find utah fireflies and found a ksl article,15,
207,06/18/2024 16:09:32,6/22/2023 18:00,Utah,Utah,north,Instagram,3,
212,06/22/2024 13:24:12,7/2/1983 18:00,Utah,Utah,north,Washington Post article,2,
213,06/23/2024 4:12:02,6/22/2024 18:00,Utah,Utah,north,Google,2,
216,06/23/2024 21:24:31,6/19/2024 19:00,Washington,Washington,south,Was trying to identify what was seen. Found site via Google search,1,
222,06/24/2024 16:17:10,6/23/2024 18:00,Wasatch,Wasatch,north,Online search,2,
225,06/25/2024 5:15:08,6/24/2024 18:00,Duchesne,Duchesne,north,Google,3,
227,06/25/2024 14:09:20,6/24/2024 18:00,Box Elder,Box Elder,north,News report,8,
240,06/30/2024 22:33:08,6/27/2024 18:00,Summit,Summit,north,Searched and found last year (2023),3,
241,07/01/2024 1:34:03,6/13/2024 18:00,Summit,Summit,north,Internet search last year,3,
